date,equity_return,Mkt-RF,SMB,HML,RF,growth_yoy,cpi_yoy,unemployment_delta,yield_spread_delta,credit_spread_delta,growth_yoy_zscore,cpi_yoy_zscore,unemployment_delta_zscore,yield_spread_delta_zscore,credit_spread_delta_zscore
2016-08-31,-0.0012192428990193127,0.0049,0.011699999999999999,0.0317,0.0002,-0.02164263084601936,0.010553158595656864,0.03333333333333351,-0.09333333333333334,-0.06333333333333317,-0.8978244894271447,-0.9035975656243096,0.14303694222132612,-0.43370256376746297,-0.5413473173262459
2016-09-30,-0.0012344511393173052,0.0027,0.0208,-0.011899999999999999,0.0002,-0.019939516469206886,0.015486446201652182,0.033333333333333215,-0.010000000000000009,-0.07000000000000028,-0.8649462284900515,-0.7255366312142408,0.1430369422213249,-0.04322760887877544,-0.597768237801845
2016-10-31,-0.01942567890903446,-0.020099999999999996,-0.043899999999999995,0.041100000000000005,0.0002,-0.015023811304759715,0.01685924966243646,0.03333333333333351,0.07666666666666666,-0.033333333333333215,-0.7700495854419223,-0.6759869826813723,0.14303694222132612,0.3628663442054596,-0.287453175186067
2016-11-30,0.034174521829295035,0.048600000000000004,0.055999999999999994,0.08289999999999999,0.0001,-0.011862778785850958,0.016843334719788938,-0.06666666666666672,0.1433333333333334,-0.03666666666666677,-0.709026524746591,-0.6765614129163856,-0.2698449988958488,0.67524630811641,-0.3156636354238666
2016-12-31,0.01820076244186586,0.0181,0.0014000000000000002,0.0347,0.0003,-0.0002049641716570516,0.020507989115119862,-0.09999999999999994,0.21333333333333346,-0.11333333333333329,-0.48397489224315177,-0.5442902302815881,-0.40747231260157296,1.0032452702229078,-0.9645042208932122
2017-01-31,0.01788435819838252,0.0194,-0.0116,-0.0276,0.0004,-0.008031281419274894,0.025103933482571117,-0.06666666666666672,0.1633333333333334,-0.13000000000000003,-0.6350602827177718,-0.3784052841919805,-0.2698449988958488,0.7689602972896951,-1.1055565220822015
2017-02-28,0.03719816006681631,0.0355,-0.0215,-0.015,0.0004,-0.006864591168616152,0.028103616813294208,-0.03333333333333351,0.06999999999999991,-0.1166666666666667,-0.6125375754843843,-0.27013541236173316,-0.13221768519012464,0.3316283478143642,-0.9927146811310105
2017-03-31,-0.0003891971352694146,0.0017000000000000001,0.0113,-0.0333,0.0003,0.007162067590550603,0.0244119623655914,-0.09999999999999994,-0.08000000000000007,-0.04666666666666671,-0.34175591041349745,-0.4033811286013859,-0.40747231260157296,-0.3712265709852733,-0.40029501613725915
2017-04-30,0.009091208748854607,0.0108,0.0066,-0.020499999999999997,0.0005,0.013993011097695573,0.02176223471915395,-0.09999999999999994,-0.14000000000000012,0.013333333333333494,-0.20988599836754718,-0.4990197814306798,-0.40747231260157296,-0.6523685385051285,0.10749326814310099
2017-05-31,0.011576251246328662,0.010700000000000001,-0.0252,-0.0382,0.0006,0.017500792534729248,0.018563431667619756,-0.06666666666666643,-0.1633333333333334,0.010000000000000083,-0.1421690235317559,-0.6144766341099677,-0.2698449988958476,-0.7617015258739609,0.07928280790530265
